 0.60162  0.60766 1.26252e-02 0.0 0.0 1.26252e-02
 0.60766  0.61377 1.49976e-02 0.0 0.0 1.49976e-02
 0.61377  0.61994 1.49848e-02 0.0 0.0 1.49848e-02
 0.61994  0.62617 1.49684e-02 0.0 0.0 1.49684e-02
 0.62617  0.63246 1.49641e-02 0.0 0.0 1.49641e-02
 0.63246  0.63882 1.49515e-02 0.0 0.0 1.49515e-02
 0.63882  0.64524 1.49545e-02 0.0 0.0 1.49545e-02
 0.64524  0.65173 1.49919e-02 0.0 0.0 1.49919e-02
 0.65173  0.65828 1.49313e-02 0.0 0.0 1.49313e-02
 0.65828  0.66489 1.48970e-02 0.0 0.0 1.48970e-02
 0.66489  0.67157 1.48561e-02 0.0 0.0 1.48561e-02
 0.67157  0.67832 1.48149e-02 0.0 0.0 1.48149e-02
 0.67832  0.68514 1.47995e-02 0.0 0.0 1.47995e-02
 0.68514  0.69203 1.48601e-02 0.0 0.0 1.48601e-02
 0.69203  0.69898 1.49760e-02 0.0 0.0 1.49760e-02
 0.69898  0.70601 1.49771e-02 0.0 0.0 1.49771e-02
 0.70601  0.71310 1.49584e-02 0.0 0.0 1.49584e-02
 0.71310  0.72027 1.51374e-02 0.0 0.0 1.51374e-02
 0.72027  0.72751 1.52464e-02 0.0 0.0 1.52464e-02
 0.72751  0.73482 1.52276e-02 0.0 0.0 1.52276e-02
 0.73482  0.74220 1.50864e-02 0.0 0.0 1.50864e-02
 0.74220  0.74966 1.49067e-02 0.0 0.0 1.49067e-02
 0.74966  0.75720 1.47403e-02 0.0 0.0 1.47403e-02
 0.75720  0.76481 1.46405e-02 0.0 0.0 1.46405e-02
 0.76481  0.77249 1.45967e-02 0.0 0.0 1.45967e-02
 0.77249  0.78026 1.45963e-02 0.0 0.0 1.45963e-02
 0.78026  0.78810 1.46406e-02 0.0 0.0 1.46406e-02
 0.78810  0.79602 1.47104e-02 0.0 0.0 1.47104e-02
 0.79602  0.80402 1.47732e-02 0.0 0.0 1.47732e-02
 0.80402  0.81210 1.49386e-02 0.0 0.0 1.49386e-02
 0.81210  0.82026 1.51310e-02 0.0 0.0 1.51310e-02
 0.82026  0.82851 1.50802e-02 0.0 0.0 1.50802e-02
 0.82851  0.83683 1.51365e-02 0.0 0.0 1.51365e-02
 0.83683  0.84524 1.52454e-02 0.0 0.0 1.52454e-02
